"","Code","Description"
"115","LA01","A l'aide de textes et d'exercices audios et videos, LA01 revise les structures de la langue, complete la grammaire de base et vise à developper la competence orale et ecrite. Les discussions en groupe ou en binôme eveillent l'envie de communiquer dans une langue etrangere."
"116","LA02","Revision et approfondissement des points importants de grammaire,enrichissement du vocabulaire, strategies et entraînement pour ameliorer la comprehension de l'ecrit et de l'oral ainsi que l'expression ecrite, courts temps d'echanges à l'oral sur les themes abordes en cours.Un cycle de cinq entretiens en petit groupe base sur des sujets d'actualite et des articles de presse completent cet enseignement pour ameliorer l'ecoute et l'expression orale"
"117","LA03","Cette UV confere le niveau B2 necessaire à la delivrance du diplôme d'ingenieur. Elle est consacree à l'amelioration des competences de comprehension et de communication, orales et ecrites, à travers l'etude de documents ecrits et audio-visuels varies (actualite des pays germanophones, histoire, reportages et films contemporains) donnant lieu à la production d'ecrits divers (commentaires, resumes etc.) et à la discussion (debats et entretiens)"
"118","LA04","L'UV LA04 permet la consolidation du niveau B2 et l'acquisition du niveau C1 du CECRL en allemand. Consacree au perfectionnement des competences de comprehension et de communication en tant qu'etudiant et futur ingenieur, elle prepare l'apprenant au sejour d'etudes et de stage Outre-Rhin."
"119","LA11","Cours d'anglais de niveau A2 (cf CECRL). Travail sur les competences de comprehension et d'expression en langue anglaise. Acquisition du vocabulaire et de la grammaire de base."
"120","LA12","L'UV associe des TD articules autour d'un systeme de projets qui permettent de developper la comprehension et l'expression ecrites et orales, ainsi que de revoir les bases en grammaire, et des entretiens pendant lesquels les etudiants s'expriment sur des themes d'ordre general, ou lies à la vie professionnelle des pays anglophones."
"121","LA13","UV d'anglais de niveau B2 (cf CECRL).Travail sur les competences de comprehension et d'expression en langue anglaise à partir de differents supports ( articles de presse, documents audio et video)et d'activites variees (entretiens, debats, exposes...)"
"122","LA14","L'UV LA 14 vise à ameliorer la maîtrise de l'anglais des etudiants (objectif vise C1), tout en approfondissant leur connaissance du monde anglophone (îles britanniques et Commonwealth essentiellement). Indispensable pour preparer un sejour prolonge dans ces pays. Themes etudies : histoire, institutions, politique, economie, education, probleme sociaux, organisation sociale, ethnicite, religion et mentalites."
"123","LA15","UV de niveau C1/ C2 Les etudiants baseront leur travail autour de l'un des themes suivants: a) le monde du travail b) les actualites politiques et economiques c) la science et la technologie. Les travaux (traductions, presentations, debats, mini-seminaires, ecriture de nouvelle) se feront en TD (24h) et en distanciel (72h)."
"124","LA20","Cette unite de valeur s'adresse à des etudiants desirant s'initier à l'apprentissage de l'espagnol. Elle permet d'acquerir le niveau A1, un niveau debutant des elements linguistiques et culturels de base."
"125","LA21","Ce cours s'adresse aux utilisateurs elementaires de la langue ayant pour but l'obtention du niveau A2. Ils pourront transmettre des informations, decrire, raconter des experiences ou exprimer un besoin dans un echange simple et direct avec un hispanophone."
"126","LA22","Ce cours s'adresse aux etudiants du niveau A2 qui renforceront leurs connaissances linguistiques et culturelles pour devenir des utilisateurs independants de la langue et acquerir le niveau B1. Ils seront capables de raconter des experiences ou de decrire un espoir, un sentiment ou un but en argumentant avec un discours simple mais coherent."
"127","LA23","Acquisition du niveau B2 dans les quatre competences que sont la comprehension orale, la comprehension ecrite, l'expression orale et l'expression ecrite, grace à l'ecoute d'enregistrements audio et à un travail specifique, à la lecture de documents authentiques varies et à la revision et l'approfondissement de certains aspects de la grammaire espagnole."
"128","LA24","L'UV LA 24 permet à l'etudiant d'approfondir ses connaissances sur la diversite culturelle hispano-americaine et de perfectionner en même temps sa capacite à communiquer (en particulier à l'oral) dans des milieux professionnels multiculturels."
"129","LA91","La finalite de cette UV, pour un etudiant non francophone, est d'acquerir un niveau de communication minimale en francais. La competence à communiquer y sera privilegiee à travers des activites portant sur des situations courantes de la vie quotidienne."
"130","LA92","L'apprentissage à ce niveau sera oriente vers la consolidation des structures grammaticales et du lexique necessaires pour pouvoir communiquer dans les situations professionnelles et para-professionnelles le plus efficacement possible."
"131","LA93","La finalite de cette UV est d'ameliorer le niveau general de langue (etudes des formes linguistiques) et s'approprier les particularites des discours universitaires. L'apprenant pourra ainsi suivre les cours de son domaine d'etude dispenses à l'UTC et prendre part active aux projets."
"132","LA94","Ce cours de langue est construit sur un apprentissage de la lecture et de l'ecriture, à partir d'un corpus articulant des questionnements sur les Langues/Societes/Sciences en vue de developper un sens critique lors de la comprehension et une capacite à la synthese. Ce qui nous amenera au fil des seances à aborder l'ecrit universitaire: Pour quoi une problematique? Comment poser des hypotheses? Quels plans possibles ?"
"133","LB14","Cours d'anglais niv. 4 et etude de l'interculturalite, discipline au carrefour de la socio-anthropologie et des sciences de la communication. Domaine relativement nouveau, ne du besoin croissant de pouvoir vivre/travailler avec d'autres cultures plus aisement. Presentation et mise en oeuvre d'une methodologie à travers documents authentiques et exemples concrets. Evaluation : 2 essais, presentations orales, entretiens + examen final."
"134","LB24","l'UV LB24 se propose d'offrir aux etudiants une connaissance plus approfondie de la culture et de la societe espagnoles, tout en leur permettant de completer leurs connaissances linguistiques."
"135","LC14","Objectifs : Developper ses aptitudes à communiquer en anglais sur des themes scientifiques/techniques afin de preparer son depart en stage ou integration dans le monde du travail. Cette UV permettra de continuer à travailler les savoir-faire de la langue, (comprehension ecrite et orale, production ecrite et orale) tout en abordant des themes lies au domaine de la science et en apprenant un vocabulaire scientifique et technique."
"136","LD14","L'UV est reservee aux etudiants ayant valide LA13 et qui souhaitent progresser dans la pratique de l'anglais à but professionnel. Le cours est organise autour de themes tels que l'anglais formel et informel, la redaction de CV et de profil professionnel en ligne, lettre de motivation, negotiations. Il se termine par une analyse de la diversite culturelle et generationnelle dans l'entreprise et un entrainement à la prise de parole en anglais"
"137","LG30","Initiation à la langue et à la culture du Japon. Acquisition des ""hiragana"" + vocabulaire de base (systeme numerique, date, heure, mots de position, etc...) Fonctionnement du nom, du verbe, de l'adjectif du mot outil da/desu et des particules enclitiques."
"138","LG31","LG31 permet de reviser mais surtout d'approfondir les structures verbales et adjectivales grace à l'etude de textes decrivant des situations du quotidien. Etude du vocabulaire par theme en relation avec les textes. Apprentissage systematique du 2° syllabaire (katakana)"
"139","LG32","l'objectif de cette UV est d'assurer une certaine autonomie de l'apprenant dans un milieu japonophone. Elle vise donc à conforter les bases acquises en LG31 (même approche) tout en les enrichissant de nouveaux schemas de phrase. Initiation aux sinogrammes ou kanji (origine et regles de trace)."
"140","LG33","En confortant les bases acquises en LG31 et LG32, - Interactions orales simples en vue d'obtenir un niveau A2. - Initiation à l'apprentissage systematique des ideogramme en complement de syllabaires hiragana et katakana etudies au niveau LG31 et LG32."
"141","LG40","Acquisition des bases de portugais du Portugal et du Bresil à partir de documents authentiques varies. Etre capable de s'exprimer sur des sujets de la vie quotidienne au present, passe et futur en construisant des phrases simples."
"142","LG41","Permet de reviser mais surtout d'approfondir les structures abordees en LG40 grace à l'etude de documents plus complexes. Vise à developper chez l'etudiant les competences de communication (reception, production et interaction orale) tout en s'exprimant de maniere simple et efficace."
"143","LG42","L'objectif est d'assurer une certaine autonomie de l'apprenant en milieu lusophone. Elle vise donc à conforter les bases acquises en LG41 tout en les enrichissant.L'etudiant doit pouvoir formuler des points de vue et opinions, conduire une argumentation claire et nuancee."
"144","LG50","Acquisition des 4 competences : - comprehension ecrite et orale - expression ecrite et orale en continu et en interaction - structures grammaticales - vocabulaire de base. Supports pedagogiques ecrits, iconographiques et audio. Decouverte de la civilisation et de l'actualite italienne."
"145","LG51","UV d'italien de niveau A2 (cf CECRL). travail sur le manuel ""l'italiano all'università"" pour consolider et approfondir les bases de la langue"
"146","LG52","UV d'italien de niveau B1 (cf CECRL). Travail sur les competences de comprehension et d'expression en langue italienne à partir de differents supports ."
"147","LG53","UV d'italien de niveau B2 (cf CECRL). Travail sur les competences de comprehension et d'expression en langue italienne à partir de differents supports."
"148","LG60","Transcrire phonetiquement(pinyin) des caracteres chinois. Connaître la structure les caracteres chinois et l'ecriture. Connaitre 150 caracteres. Apprendre la grammaire de base. Ecrire des textes courts et engager des conversations tres simples. Connaître la civilisation et la culture chinoise."
"149","LG61","Connaitre le vocabulaire acquis (lire, ecrire 150 caracteres de plus). Apprendre la grammaire de base. Engager des conversations simples. Ecrire des textes tres simples et coherents de 150 mots minimum. Connaitre la civilisation et la culture chinoise."
"150","LG62","Connaitre le vocabulaire acquis (lire, ecrire 200 caracteres de plus). Apprendre la grammaire de base. Engager des conversations simples. Ecrire des textes simples et coherents de 150 mots minimum. Connaitre la civilisation et la culture chinoise."
"151","LG63","Connaitre le vocabulaire acquis (lire, ecrire 300 caracteres de plus). Ecrire des textes et coherents de 200 mots minimum. Approfondir des structures grammaticaux. Progresser en expression orale et ecrite.Maîtriser les expressions de la vie courante. Approfondir les connaissances de la culture."
"152","LH12","LH12 confere le niveau B1. Travail sur les competences de comprehension, d'expression et d'interaction en langue anglaise à partir de differents supports (articles de presse, documents audio et video) et d'activites variees (entretiens, debats, exposes...)"
"153","LH13","LH13 confere le niveau B2 necessaire à la delivrance du diplôme d'ingenieur. Travail sur les competences de comprehension, d'expression et d'interaction en langue anglaise à partir de differents supports (articles de presse, documents audio et video) et d'activites variees (entretiens, debats, exposes...)"
"154","LH14","A l'issue de l'enseignement, l'apprenti sera capable de presenter des descriptions claires et detaillees de sujets scientifiques en integrant des themes qui leur sont lies, en developpant certains points et en terminant leur intervention de facon appropriee."
"155","LH15","Apprendre et comprendre les elements de l'histoire et de la civilisation americaines à partir des documents ecrits et oraux en anglais. Comprendre des films en anglais sur l'histoire americaine. A l'issue de l'enseignement, l'apprenti sera capable d'elargir ses connaissances linguistiques et sa comprehension du monde anglophone à travers l'histoire et la civilisation des Etats-Unis"
"156","LH16","L'UV est reservee aux etudiants ayant valide LA13 et qui souhaitent progresser dans la pratique de l'anglais à but professionnel. Le cours est organise autour de themes tels que l'anglais formel et informel, la redaction de CV et de profil professionnel en ligne, lettre de motivation, negotiations. Il se termine par une analyse de la diversite culturelle et generationnelle dans l'entreprise et un entrainement à la prise de parole en anglais."
"157","LH18","Suivi linguistique, choix de langue. Tous niveaux, avec l'accord de l'intervenant et de la section Apprentissage."
"158","LO17","L'UV permet d'amener l'etudiant à decouvrir/maitriser la gestion d'une base documentaire. Plus specifiquement, nous nous interessons à la notion d'indexation des documents. Nous nous focalisons sur la decouverte de ces indexes à partir du contenu des documents. Pour cette raison, nous mobilisons deux techniques : le traitement automatique des langues et le text-mining."
"159","LO21","Etude et mise en oeuvre des differents concepts et outils lies à la programmation et à la conception orientees objet."
"160","LO22","le but de cette UV est de former aux methodes du genie logiciel, en couvrant les aspects Verification et Validation (V&V), Methodes formelles, et Sûrete de Fonctionnement des systemes programmes. Sont en particulier etudiees les differentes techniques de prevention, prevision, elimination et tolerance aux fautes."
"161","LO23","Cette UV permet aux etudiants d'acquerir le vocabulaire et les concepts associes à la gestion de projet et à la maîtrise de la qualite pour les systemes d'information. Les etudiants seront egalement amenes à gerer en equipe le developpement d'un logiciel informatique."
"162","MC01","cette UV constitue une initiation à l'etude theorique et technologique des machines electriques à interactions de champs magnetiques et de leurs associations avec des convertisseurs electroniques. A l'issue de l'enseignement, l'etudiant sera capable d'analyser, de choisir, de participer à la conception et au contrôle des machines electriques adaptees à un cahier des charges electrique et mecanique donne."
"163","MC02","MC02 aborde l'etude des entraînements electriques à vitesse variable sous 3 aspects complementaires : choix et dimensionnement des constituants de la chaîne de puissance - analyse des caracteristiques electromecaniques - etude des lois de commande vectorielle des servomoteurs. A l'issue de l'enseignement, l'etudiant sera capable de dimensionner, d'optimiser et de contrôler un entraînement electrique à vitesse variable."
"164","MC05","L'objectif de l'UV est d'apporter aux futurs ingenieurs des connaissances et competences sur les installations de conversion d'energie thermo-mecanique ainsi que sur leurs composants. L'UV traite des systemes energetiques permettant de convertir de la chaleur en travail mecanique ou d'extraire de la chaleur à basse temperature grace à un apport d'energie mecanique. Les aspects de combustion et de maîtrise de l'energie y sont egalement abordes."
"165","MC06","cette UV constitue un enseignement de synthese pour l'ingenieur en filiere mecatronique (MARS). A l'issue de l'enseignement, l'etudiant sera capable de mettre en oeuvre une commande numerique ou analogique d'un actionneur electromecanique et de regler les correcteurs en respectant les specifications et contraintes d'un cahier des charges."
"166","MC07","initiation à l'electronique de puissance (principes, moyens et applications). Apres avoir introduit les concepts de base, on etudie les principaux composants elementaires, puis les convertisseurs les plus classiques en s'appuyant sur des exemples d'application. A l'issue de l'enseignement, l'etudiant sera capable de selectionner (voire de dimensionner) des convertisseurs electroniques de puissance pour des applications donnees."
"167","MC08","A l'issue de l'enseignement, l'etudiant sera capable d'analyser ou concevoir des systemes automatises et ou robotises. Differents aspects de la robotique sont abordes : conventions de Denavit Hartenberg, actionneurs electriques pour la robotique, bus de terrain, vision industrielle, capteurs dans les installations automatisees. l'UV contribue à la synthese des UV specifiques à la filiere MARS."
"168","MG01","Presentation des fondamentaux du management, du travail en equipe. Alternance ""elements theoriques/ techniques manageriales"" à utiliser sur le terrain. Recherches dans plusieurs guides, tests d'auto-evaluation,definition de son propre ""profil managerial"", participation à des ""jeux de rôles"" en equipe."
"169","MG06","Enseignement à distance visant à acquerir les competences pour comprendre et utiliser le brevet dans la diversite de ses fonctions : outil de protection de l'invention, de conquête de marches et source d'informations techniques et commerciales exploitables à des fins strategiques, manageriales ou d'innovation."
"170","MI01","L'objectif est de comprendre l'architecture materielle des supports informatiques de traitement de donnees. Comment choisir le systeme de traitement : d'un composant dedie à une application, jusqu'à la solution avec un microprocesseur et ses interfaces. Les elements lies à l'impact sur l'environnement ainsi que les notions avancees des dernieres generations de processeurs seront decryptes (multicoeur, hyperpipeline, hyperthreading, etc.)"
"171","MI11","A l'issue de l'enseignement, l'etudiant sera capable d'integrer les exigences et les mecanismes fondamentaux pour la mise en oeuvre de systemes et d'applications embarquees ainsi que la prise en compte de contraintes temporelles associees"
"172","MI12","La conception de systemes embarques a ete revolutionnee par les approches basees ""modele"". Ces techniques recentes de conception seront presentees, de la gestion des exigences, y compris celles liees à l'ingenierie durable, jusqu'à l'exploration d'architectures. Les mini-projets en TD sur les capteurs des Smartphones, Raspberry PI, Kinect, etc. permettront de mettre en oeuvre ces concepts. Des mini-projets seront en challenge entre les groupes."
"173","MP02","A l'issue de cet enseignement, l'etudiant doit être capable d'organiser et gerer une unite de production (type atelier) tant sur le plan des ressources techniques que humaines dans le respect des contraintes coût/delai en s'appuyant sur des outils informatiques associes de type GPAO."
"174","MP03","MP03 presente les problemes d'aide à la decision aux niveaux strategique, tactique et operationnel au sein d'une supply chain. Ceci consiste à concevoir la supply chain (chaine de distribution, supply network, reseau de transport, choix fournisseurs, strategie de prix) et à la gerer (stock, previsions de la demande, planification, gestion des entrepôts...). MP03 est enseigne en anglais."
"175","MQ01","Etude des procedes elementaires de calcul de pieces mecaniques soumises à des sollicitations simples ou composees."
"176","MQ02","l'UV donne une initiation à la mecanique des milieux continus solides. On y aborde les notions necessaires à la resolution des problemes d'elasticite ainsi que les principes de l'energie qui sont à la base des methodes numeriques utilisees dans le domaine, telles que la methode des elements finis."
"177","MQ03","Cette UV donne les bases necessaires à l'analyse, au calcul et à la comprehension des phenomenes vibratoires des systemes discrets, lineaires, à 1 ou plusieurs degres de liberte, avec ou sans amortissement."
"178","MQ04","l'UV presente les elements essentiels pour la connaissance des polymeres et de leurs proprietes specifiques en vue de l'utilisation de ces materiaux dans un secteur d'activites donne."
"179","MQ05","Tribologie est une science qui s'interesse aux frottements, usure et lubrification des organes mecaniques en contact. L'UV MQ05 concerne l'enseignement des problemes lies aux actions de contact entre solides en mouvement relatif en vue d'un choix rationnel des solutions conduisant à reduire la consommation d'energie et augmenter la duree de vie et la fiabilite des systemes mecaniques."
"180","MQ06","la methode des elements finis est presentee pour le calcul lineaire des structures, en regime statique et vibratoire. Les structures constituees de barres, poutres, plaques, coques, et solides sont etudiees. La qualite des modeles elements finis, pour le traitement des problemes industriels, est traitee. Un logiciel elements finis de reference est utilise dans le cadre des travaux pratiques et du mini-projet."
"181","MQ07","L'UV aborde les materiaux metalliques et composites classiquement utilises dans les domaines de l'energie et des transports, lorsque les conditions d'emploi atteignent des temperatures suffisamment elevees pour activer des modes de degradation specifiques (centrales nucleaires, UVED, turbines terrestres, centrales à gaz ou à charbon, reacteurs d'avions, moteurs thermiques, ...)."
"182","MQ08","L'UV MQ08 aborde les alliages metalliques sous l'angle de leur microstructure en s'interessant à l'effet de la thermique des procedes d'elaboration ou de mise en forme sur la microstructure (fonderie, fabrication additive, ...), le recours aux traitements thermiques, et l'impact de la microstructure sur les proprietes mecaniques usuelles. Par ailleurs, la degradation des alliages metalliques par corrosion est egalement abordee dans l'UV."
"183","MQ09","MQ09 presente les methodes de dimensionnement et d'analyse vibratoires des systemes continus : 1D (corde, poutre), 2D (membrane, plaque, coque, structure composite). La presentation des modes des structures academiques, leur couplage et la reponse à differents types de sollicitations (impact, machine tournante, turbulence) est completee par l'introduction à l'analyse modale experimentale et à la fatigue vibratoire."
"184","MQ10","Les proprietes mecaniques des materiaux metalliques sont expliquees en relation avec leur microstructure, afin de donner des lois de comportement applicables au calcul des structures, et de degager des concepts deterministes utiles pour le contrôle-qualite et la durabilite des structures."
"185","MQ11","L'objectif de l'UV est d'apporter aux etudiants les connaissances de base sur les principaux procedes et les nouvelles technologies utilises dans la mise en forme/oeuvre des differentes familles de materiaux (polymeres, composites et metalliques), avec un apercu sur leurs techniques d'assemblage et leurs fonctionnalisations."
"186","MQ12","le choix du couple materiau/procede pour une realisation donnee est un probleme tres complexe. l'objectif de cette UV est de sensibiliser les etudiants au choix adapte et de leur donner les elements types de la demarche à suivre pour assurer la conception optimisee d'un produit, d'un objet, d'une structure et satisfaire leur bon usage. Les applications proposees concernent à la fois les secteurs d'activite technologique et biotechnologique."
"187","MQ13","A l'issue de la formation, l'etudiant sera capable de designer une structure composite en prenant en compte, l'interaction entre les differents aspects contribuant à la qualite et la viabilite d'une solution composite: la mise en oeuvre,la forme geometrique et les proprietes mecaniques (elasticite et rupture)"
"188","MQ14","il s'agit d'initier les eleves ingenieurs aux outils numeriques d'optimisation pour leur utilisation en conception de structures ou systemes mecaniques (theorie, programmation, utilisation d'un code du marche)."
"189","MQ16","Il s'agit d'initier les eleves ingenieurs à la modelisation des problemes de crash notamment dans le domaine des transports où les enjeux de securite deviennent de nos jours un facteur important pour les industriels. Les notions abordes concernent : la modelisation des assemblages de structures complexes (caisse en blanc de vehicule), les schemas d'integration, les formulations de modeles EF coque et solide pour le crash, les modes Hourglass."
"190","MQ17","Le but est d'apporter aux etudiants de debut de cycle d'ingenieur la culture de base sur le comportement mecanique des differentes familles de materiaux et tout particulierement sur la relation entre les proprietes mecaniques etudiees et la microstructure des materiaux, ainsi que leurs defauts. A l'issue de l'enseignement, l'etudiant sera capable d'expliciter le lien entre la microstructure d'un materiau et ses principales proprietes mecaniques."
"191","MQ18","A l'issue de l'enseignement, l'etudiant sera capable d'expertiser le comportement dynamique d'un systeme mecanique compose de solides rigides (modeliser, analyser, comprendre et expliquer). Pratique d'un logiciel industriel de simulation cinematique et dynamique."
"192","MQ19","Presenter les principes et methodes pour la formulation et la resolution numerique des problemes de la dynamique lineaire des structures et systemes deformables:modes propres, reponse en frequence et reponse temporelle. La methode des elements finis est utilisee pour discretiser les systemes. Les applications se font sur un code de calcul dynamique de reference dans l'industrie."
"193","MQ20","A l'issue de la formation, l'etudiant sera capable de donner les concepts de base sur l'analyse des efforts, des deformations et des taux de deformation dans un milieu continu homogene fluide ou solide et les mettre en oeuvre dans des situations simples comme la traction, la compression, la flexion de solides et certains ecoulements de liquides."
"194","MS01","Initiation aux principes physiques des methodes modernes d'analyse. Sont abordees : les spectroscopies atomiques (flamme, SDL) et moleculaires (IR, SM, UV, RMN), les microscopies optiques, electroniques et à force atomique."
"195","MS02","L'UV a pour objectif de donner aux etudiants une culture technologique etendue sur les differents capteurs rencontres en milieu industriel et sur leurs utilisations (metrologie, acquisition de donnees). Les etudiants seront capables de choisir, d'apres les criteres fixes par le cahier des charges, le(s) capteur(s)."
"196","MS03","Apres une initiation aux methodes experimentales avancees en acoustique et vibrations, cette UV se developpe sous le format d'un atelier projet, en reponse à un cahier des charges soumis par un partenaire industriel. Les etudiants realisent en autonomie une etude experimentale dont les resultats pourront être confrontes à des resultats issus de simulation."
"197","MT09","l'analyse numerique est un outil essentiel pour l'ingenieur. l'objectif de l'UV est de faire prendre conscience aux etudiants que la simulation de la majorite des phenomenes reels conduit à des modeles dont la resolution mathematique exacte est impossible. On est donc conduit à chercher des solutions approchees par des algorithmes numeriques que l'on programme sur ordinateur."
"198","MT10","Les structures fondamentales de l'algebre (groupes, anneaux, corps) sont presentees et mises en pratique par le calcul formel (SageMath, ou Python, en TP), via des algorithmes (exponentiation modulaire, Euclide, Pollard, ...). A l'issue de l'enseignement, l'etudiant sera capable de mobiliser les structures fondamentales de l'algebre pour la conception d'algorithmes de cryptographie et de codage."
"199","MT11","L'UV propose une synthese des mathematiques du premier cycle : fonctions d'une ou plusieurs variables, courbes et surfaces, integrales simples et multiples, equations differentielles, bases de l'algebre lineaire. L'enseignement se presente sous forme d'un cours-TD fonde sur un document integrant cours et exercices."
"200","MT12","L'UV presente les mathematiques de base utiles pour l'ingenieur de toute branche de l'UTC. En particulier les principes de modelisation et explique les mathematiques necessaires pour comprendre de nombreux phenomenes physiques et mecaniques : les distributions, les series de Fourier, la convolution, les transformees de Fourier et Laplace et quelques elements d'ondelettes."
"201","MU01","Cette UV vise à permettre, aux etudiants ayant dejà une maitrise de leur instrument, de pratiquer collectivement cet instrument et de developper leurs competences."
"202","MU03","cette UV permettra une pratique collective des musiques ecrites et improvisees s'inscrivant dans une esthetique de notre temps, principalement le jazz.Cela permettra de developper les techniques d'interpretation et d'improvisation."
"203","NA05","Preparation en autonomie et passage en fin de semestre de la certification nationale PIX. Aucun cours, ni TD ou TP. Uniquement une epreuve finale en salle (PIX) et des entrainements en ligne durant le semestre. Une information generale lors du cours de NF05 la semaine de rentree."
"204","NF02","Cette UV permet d'introduire les notions de base necessaires à la comprehension des principes d'electronique numerique, de l'architecture et du fonctionnement des microprocesseurs."
"205","NF04","Cette UV presente la description mathematique des problemes de l'ingenieur, la modelisation numerique, la realisation et l'utilisation d'un logiciel industriel (P) ou d'outils sous Matlab (A). Les applications traitent de problemes stationnaires ou non et appliques aux domaines de la thermique, mecanique, acoustique, fluide et phenomene de transport."
"206","NF05","Cet enseignement permet d'acquerir des competences dans la maîtrise des outils informatiques, des technologies de l'information et de la communication, des reseaux, des aspects juridiques et ethiques associes à l'internet, et de la recherche d'information sur le web, ainsi que la publication de donnees sur internet."
"207","NF11","l'UV aborde les notions theoriques necessaires à la comprehension de la compilation des langages de programmation. Elle traite les phases d'analyses lexicale, syntaxique et semantique. Elle presente les grammaires regulieres et hors-contexte ainsi que les automates associes aux analyseurs. Elle aborde egalement les definitions dirigees par la syntaxe"
"208","NF15","l'UV donne les outils et methodes permettant l'integration d'un microcontrôleur dans un systeme mecanique ou biomedical pour le rendre autonome, asservi ou/et connecte. Les procedes d'interaction du microcontrôleur avec capteurs, actionneurs et interfaces homme-machine seront approfondis ainsi que les techniques liees à la gestion du temps liees aux systemes embarques."
"209","NF16","presentation des structures de donnees de base en informatique ainsi que des algorithmes qui les manipulent."
"210","NF18","L'objectif de l'UV est de d'amener les etudiants à maîtriser la conception de bases de donnees relationnelles et à comprendre les principes des bases de donnees non-relationnelles."
"211","NF22","L'objectif de cette UV est de permettre aux non-informaticiens de dominer l'utilisation d'un micro-ordinateur. On y aborde quelques notions d'algorithmie, puis une initiation à la manipulation de logiciels courants dans les applications de bureautique (Visual Basic, Excel et Access), et enfin, une introduction à l'architecture et la communication entre ordinateurs."
"212","NF23","L'enseignement est porte sur la comprehension des principes fondamentaux de la simulation des operations unitaires en genie des procedes. Le choix des modeles thermodynamiques, apprentissage des outils de simulation tel que le logiciel HYSYS et etablissement des bilans y sont etudies à travers de nombreux exemples."
"213","NF24","L'enseignement est axe sur la modelisation des procedes. Des outils numeriques (Scilab et COMSOL Multiphysics) seront utilises pour mettre en equations et resoudre numeriquement des problemes en genie des procedes (bilans et transfert de matiere, ecoulement de fluides, transfert de chaleur, calcul reacteur, ...)."
"214","NF28","Cette UV presente les methodes et outils utilises pour la conception, le developpement et l'evaluation de systemes interactifs. Elle aborde notamment l'ergonomie des interfaces, le developpement des interfaces graphiques et le developpement mobile. A l'issue de l'enseignement, l'etudiant sera capable de realiser des interfaces ergonomiques sur differents supports."
"215","PH01","Le cours propose une lecture problematisee de l'histoire de la philosophie, comme emergence progressive de l'empirisme, de l'utilitarisme et du relativisme contemporains, en face des modeles antiques, et ouvre ainsi un espace de debat où les etudiant.e.s sont appeles à se situer. Les theses philosophiques sont travaillees en lien avec des oeuvres cinematographiques."
"216","PH02","Comment distinguer l'activite de l'ingenieur de celle du scientifique ? En quel sens la posture de l'ingenieur contemporain se rapproche-t-elle de celle du philosophe ? Nous explorerons ces questions, à la fois epistemologiques et sociologiques, à travers des debats et des lectures collectives. Vous les traiterez egalement dans le cadre de la realisation d'un dossier sur un theme de votre choix."
"217","PH03","L'objectif du cours est d'introduire les etudiants aux problematiques contemporaines de la philosophie des techniques, avec un triple objectif : questionner philosophiquement certains grands domaines de la recherche et du developpement technologiques actuels ; introduire les principaux concepts ; introduire les auteurs"
"218","PH09","L'UV entend introduire les etudiant(e)s à la connaissance des differents courants de la philosophie morale (ethique des vertus, deontologisme, consequentialisme, pragmatisme), mais aussi presenter les principaux developpements en ethique appliquee (ethique environnementale, ethique medicale, ethique du numerique etc.), en lien avec les questions que soulevent aujourd'hui les sciences et les techniques"
"219","PH10","Quels sont les effets du cinema et de la television sur les societes et les manieres de penser ? Quels sont les mecanismes fondamentaux de la conscience qui rendent possible l'efficacite du cinema ou de la television ? Le cours abordera ces questions theoriquement. Les TDs les pratiqueront concretement, à travers des exposes et/ou l'experimentation des technologies numeriques dans l'analyse de contenus audiovisuels."
"220","PR00","l'objectif de l'UV est de faire participer les etudiants à la realisation d'un projet sous la supervision d'un enseignant."
"221","PS05","le but de cette UV est de fournir les outils necessaires à la modelisation et à la mise en equation des problemes de l'acoustique."
"222","PS09","La dimension bruit est aujourd'hui un element essentiel pour decrire la qualite d'un environnement ou d'un produit. Dans la conception ou l'amelioration d'un avion, d'une automobile, d'une machine à laver, d'un batiment, des caracteristiques acoustiques sont inscrites au cahier des charges. L'UV PS09 est une introduction à l'acoustique et aborde les aspects physiques, metrologiques et regles de conception pour l'industrie mecanique et le batiment"
"223","PS12","PS12 permet de decouvrir les methodes de modelisation des salles (batiment, salle de spectacle) et des extensions aux quartiers urbains, qui se caracterisent par une approche energetique (acoustique geometrique, methodes statistiques). Un focus sur la physique et la fonction acoustique des materiaux (isolant, absorbant, diffusant) y est developpe. Des aspects reglementaires et de perception sonore viendront completer cette UV."
"224","PS13","Cette UV est dediee à l'etude de la vibroacoustique. Elle fait le lien entre la vibration des structures et la propagation acoustique. L'application des methodes numeriques (elements finis, elements de frontiere) à ces problematiques est detaillee en cours. En TD un logiciel commercial, Vaone d'ESI, est utilise pour appliquer les differentes methodes numeriques sur des problemes vibroacoustiques concrets."
"225","PS15","par le biais de la thermodynamique phenomenologique, l'UV donne aux etudiants les notions de base pour aborder l'etude des systemes energetiques de production de travail, de chaleur , de froid, de conditionnement d'air."
"226","RO03","Cette UV a pour objectifs de sensibiliser les futurs ingenieurs à la notion fondamentale de complexite des algorithmes et d'apprendre aux etudiants un certain nombre d'outils fondes sur les graphes permettant d'aborder les problemes combinatoires."
"227","RO04","introduction aux techniques de base en optimisation lineaire et non lineaire."
"228","RO05","Les modeles stochastiques ou aleatoires interviennent de plus en plus dans la boîte à outils de l'ingenieur: finance, assurance, gestion de production, fiabilite, traitement d'image et de parole, genome, mecanique aleatoire, etc."
