"Code","Intitule","Credits","Domaine","Theme","Categorie","Enseignee_en","Responsable_Automne","Responsable_Printemps","Description","Niveau_conseille","Prerequis","Final","Conditions_evaluation","Conditions_attribution","Mots_cles","Objectif_formation","Objectifs_pedagogiques_specifiques","Objectifs_pedagogiques_transverses","Programme","Resulat"
"MS02 "," PRINCIPES PHYSIQUES DES CAPTEURS ET INSTRUMENTATION","6","Physique","Physique","Techniques (TM-ST)","Printemps"," ","Frederic LAMARQUE ","L'UV a pour objectif de donner aux etudiants une culture technologique etendue sur les differents capteurs rencontres en milieu industriel et sur leurs utilisations (metrologie, acquisition de donnees). Les etudiants seront capables de choisir, d'apres les criteres fixes par le cahier des charges, le(s) capteur(s).","Gx02 et Gx04","EN21 conseille mais pas obligatoire","Oui"," Printemps : N = 0.5 x note final + 0.25 x note median + 0.25 x TP"," Printemps : N superieure ou egale a  10/20 et note de l'examen final superieure ou egale a  6/20"," acquisition de donnees  capteurs  instrumentation ","- acquerir une culture technologique etendue sur les differents capteurs rencontres en milieu industriel et sur leur utilisation (metrologie, acquisition de donnees). - acquerir la competence de comprendre une feuille de specifications de n'importe quel type de capteur. - analyser un systeme de mesure.","- decoder les informations d'une feuille de specifications d'un capteur; - choisir le (les) capteur(s) le(les) mieux approprie(s) pour resoudre un probleme d'instrumentation defini dans un cahier des charges; - conn'aitre la limite d'un mesurage, d'un controle.","","La metrologie (erreurs et incertitudes de mesure). Caracteristiques statiques et dynamiques des capteurs. Capteurs piezo-electriques (accelerometre, amplificateurs de charges). Mesure de la temperature (thermocouples, sondes resistives, thermistances). Capteurs optroniques (milieux optiques, sources et detecteurs de lumiere, exemples de mesures sans contact). Capteurs resistifs (capteurs potentiometriques, sondes thermiques, jauges de deformation). Conditionneurs de capteurs passifs (pont de Wheatstone, Sauty, Maxwell). Capteurs capacitifs (plans, cylindriques). Capteurs inductifs (variation d'inductance, transformateur differentiel). Capteurs electromagnetiques (courant de Foucault, effet Hall, codeurs.","Savoir decoder les informations d'une feuille de specifications d'un capteur Etre capable de choisir le (les) capteur(s) le(les) mieux approprie(s) pour resoudre un probleme d'instrumentation defini dans un cahier des charges Conn'aitre la limite d'un mesurage, d'un controle"
"MS03 "," ATELIER PROJET EN ACOUSTIQUE ET VIBRATIONS","6","Mecanique appliquee","Acoustique, son, lutte contre le bruit","Techniques (TM-ST)","Automne","Nicolas DAUCHEZ "," ","Apres une initiation aux methodes experimentales avancees en acoustique et vibrations, cette UV se developpe sous le format d'un atelier projet, en reponse Ã  un cahier des charges soumis par un partenaire industriel. Les etudiants realisent en autonomie une etude experimentale dont les resultats pourront Ãªtre confrontes Ã  des resultats issus de simulation.","A partir de IM04, IM05","Connaissances de base en acoustique (PS09), vibrations (MQ03, MQ09) et traitement du signal (SY06)","Non","Automne : Rapport ecrit et Expose oral sur Projet Printemps : Rapport ecrit de Projet : 40 % Expose oral : 20 % Travaux Pratiques : 40 % ","Automne : Rapport ecrit : 60% Expose oral: 40% Printemps : Resulat final sup ou egal a  10"," Methodes experimentales Vibrations Acoustique Vibro-acoustique ","A l&#8217;issue de l&#8217;enseignement les etudiants seront capables de m'aitriser les outils experimentaux les plus recents en acoustique et vibrations, qu&#8217;ils sont susceptibles de rencontrer dans l&#8217;industrie (exemple : vibrometre laser a  balayage, outil d&#8217;analyse modale, &#8230;) et d'autre part de confronter les resultats de mesure avec ceux issus de simulations. ","- Conn'aitre par la pratique les methodes et outils de mesure en acoustique et vibrations - Comprendre par la pratique sur des cas concrets les phenomenes physiques enseignes en acoustique et vibrations - Analyser des documents techniques - Realiser et instrumenter des montages experimentaux - Programmer sous Matlab des modeles analytiques - Realiser des mesures avec l&#8217;instrumentation dediee (analyseur de spectre multivoies, microphone, sonde intensimetrique, accelerometre,&#8230;) - Analyser et confronter les resultats - Mettre en evidence les resultats importants de son travail ","- travailler en groupe - concevoir et mener un projet dans un temps limite - faire partager aux autres les acquis du travail realise - rediger un rapport - presenter en public son travail en un temps court - developper l'esprit de synthese ","Le programme du semestre se compose de deux parties (travail en groupe de 2-3 etudiants) : - Initiation aux methodes avancees en acoustique et vibrations : vibrometrie laser, analyse modale, isolation acoustique - Mise en oeuvre des methodes pour repondre a  un cahier des charges industriel","Conn'aitre par la pratique les methodes et outils de mesure en acoustique et vibrations (intensimetrie, vibrometrie laser, analyse modale, caracterisation des materiaux acoustiques, affaiblissement d&#8217;une paroi, perte par transmission de silencieux&#8230;) que le futur ingenieur sera amene a  rencontrer dans sa vie professionnelle. Comprendre par la pratique sur des cas concrets les phenomenes physiques enseignes (vibrations de structure, transparence de paroi, mesures de puissance de machines, propagation en conduit, silencieux...) et a  avoir un regard critique des resultats. A l&#8217;issue de la formation, l&#8217;etudiant sera capable de: - Analyser des documents techniques - Realiser et instrumenter des montages experimentaux - Programmer sous Matlab des modeles analytiques - Realiser des mesures avec l&#8217;instrumentation dediee (analyseur de spectre multivoies, microphone, sonde intensimetrique, accelerometre,&#8230;) - Analyser et confronter les resultats - Mettre en evidence les resultats importants de son travail "
"MT09 "," ANALYSE NUMÃ‰RIQUE","6","Modelisation et simulation","Analyse numerique appliquee et resolution","Scientifiques (CS-ST)","Automne","Vincent MARTIN "," ","l'analyse numerique est un outil essentiel pour l'ingenieur. l'objectif de l'UV est de faire prendre conscience aux etudiants que la simulation de la majorite des phenomenes reels conduit Ã  des modeles dont la resolution mathematique exacte est impossible. On est donc conduit Ã  chercher des solutions approchees par des algorithmes numeriques que l'on programme sur ordinateur.","debut branche","MT22, MT23","Oui","Automne : Travaux pratiques(TP), Examen median(EM), Examen final(EF). ","Automne : Travaux Pratiques : 20 % (note > ou = a  10/20) Examen median : 40 % Examen final : 40 % (note > ou = a  6/20) "," systemes lineaires moindres carres equations non-lineaires interpolation integration numerique equations differentielles ","- programmer des algorithmes simples pour bien comprendre les principes des methodes numeriques sans chercher la sophistication professionnelle des logiciels de bibliotheques; - utiliser intelligemment des logiciels existants, par exemple pouvoir construire un logiciel a  partir de briques prises dans des bibliotheques; - sensibiliser les etudiants a  l'importance des outils permettant d'entrer des donnees complexes et d'editer des resultats volumineux.","- conn'aitre les algorithmes classiques permettant de calculer les solutions numeriques des systemes d'equations lineaires ou non lineaires, des equations differentielles; - faire la difference entre une methode directe ou une methode iterative (convergence, test d'arret) de resolution. - connaitre les limites des algorithmes utilises (erreur, conditionnement, problemes mal poses). - dominer un langage interprete ou compile comme Scilab (ou Matlab). - choisir une approximation efficace pour lisser des donnees experimentales.","","Pour MA09, on rappellera la definition des valeurs et vecteurs propres. Pour calculer numeriquement quelques valeurs propres, on presentera la methode de la puissance iteree et iteree inverse. Pour MB09 seulement, l'algorithme QR sera developpe.","Conn'aitre les algorithmes classiques permettant de calculer les solutions numeriques des systemes d'equations lineaires ou non lineaires, des equations differentielles. Faire la difference entre une methode directe ou une methode iterative (convergence, test d'arret) de resolution. Avoir compris les limites des algorithmes utilises (erreur, conditionnement, problemes mal poses). Dominer un langage interprete ou compile comme Scilab (ou Matlab). Savoir choisir une approximation efficace pour lisser des donnees experimentales."
"MT10 "," STRUCTURES, CALCUL FORMEL ET ALGORITHMES","6","Mathematiques","Arithmetique","Scientifiques (CS-ST)","Printemps"," ","Vincent ROBIN ","Les structures fondamentales de l'algebre (groupes, anneaux, corps) sont presentees et mises en pratique par le calcul formel (SageMath, ou Python, en TP), via des algorithmes (exponentiation modulaire, Euclide, Pollard, ...). A l'issue de l'enseignement, l'etudiant sera capable de mobiliser les structures fondamentales de l'algebre pour la conception d'algorithmes de cryptographie et de codage.","niveau de branche","","Oui"," Printemps : TP: 3 compte-rendu M: 1 examen median F: 1 examen final"," Printemps : 0.4*TP + 0.3*M + 0.3*F > 10 "," groupes arithmetique corps polynomes calcul formel anneaux cryptographie factorisation corps finis courbes elliptiques ","- mobiliser les structures fondamentales de l'algebre pour la conception d'algorithmes de cryptographie et de codage.","- identifier les structures de bases et leurs morphismes; - utiliser les structures quotients (ex: constructions de Z/NZ, d'isomorphismes, de corps finis); - utiliser les notions d'arithmetiques et leur generalisation dans les anneaux; - expliquer le fonctionnement de RSA et en proposer une implementation en Python (via Sage); - construire un corps fini de cardinal prescrit et en proposer une implementation en Python (via Sage); - appliquer le calcul dans des corps finis a  la conception de code correcteur d'erreurs (ex: Reed-Solomon); - calculer sur des courbes elliptiques.","- programmer en Python des algorithmes d'arithmetique (ex: Euclide etendu, exponentiation modulaire)"," Groupes, anneaux et corps, corps finis. Applications: arithmetique, cryptographie, RSA, factorisation, tests de primalite, courbes elliptiques.",""
"MT11 "," RÃ‰VISION D'ANALYSE ET D'ALGÃˆBRE","6","Mathematiques","Fondamentaux","Scientifiques (CS-ST)","Automne, Printemps","Ahmad EL HAJJ ","Veronique HEDOU ","L'UV propose une synthese des mathematiques du premier cycle : fonctions d'une ou plusieurs variables, courbes et surfaces, integrales simples et multiples, equations differentielles, bases de l'algebre lineaire. L'enseignement se presente sous forme d'un cours-TD fonde sur un document integrant cours et exercices.","Debut de branche ; interdit aux etudiants venant de tronc commun.","","Non","Automne : Examen Partiel (P) + Examen Final (F) Printemps : Partiel : P Final : F","Automne : Moyenne= Max(P/2+F/2; P/3+2F/3) avec F &#8805; 6 Printemps : Max( (P+F)/2, (P+2F)/3 )>=10 et F>6"," Algebre Geometrie Analyse ","","","","- Fonctions de plusieurs variables - Courbes et surfaces - Integrales simples - Equations differentielles - Integrales doubles - Integrales triples - Integrales curvilignes - Algebre lineaire ","M'aitrise satisfaisante de l'outil mathematique.Retrouver une familiarite avec la necessite de demonstration."
"MT12 "," TECHNIQUES MATHÃ‰MATIQUES POUR L'INGÃ‰NIEUR","6","Mathematiques","Analyse","Scientifiques (CS-ST)","Automne, Printemps","Nikolaos LIMNIOS ","Abdellatif EL BADIA ","L'UV presente les mathematiques de base utiles pour l'ingenieur de toute branche de l'UTC. En particulier les principes de modelisation et explique les mathematiques necessaires pour comprendre de nombreux phenomenes physiques et mecaniques : les distributions, les series de Fourier, la convolution, les transformees de Fourier et Laplace et quelques elements d'ondelettes.","Debut branche","MT02, MT03, MT22 (Integrales multiples)","Oui","Automne : TP (20 %) Median (40 %) Examen final (40 %) Printemps : Printemps: 1 Examen median de 2 heures (M), 1 Examen final de 2 heures (F). Travaux pratiques (T) ","Automne : 0,20 TP + 0,40 P + 0,40 EF >= 10 Note eliminatoire au final 5 Printemps : max (0.4*M+0.4*F +0.2*T ; 0.3*M+0,5*F+0.2*T) >10 et F >6."," Modelisation, Distribution Convolution, Optimisation Series de Fourier Transformee en ondelettes Transformees de Fourier et Laplace ","mettre en oeuvre les modeles mathematiques pour l'ingenieur faisant appel aux mathematiques deterministes. ","- utiliser les distributions, la convolution, les series de Fourier, les transformees de Fourier et les transformees Laplace pour les equations differentiels, le traitement du signal, l'optimisation, la simulation et les probabilites. ","- resoudre un probleme concret, par exemple, probleme de transfere de chaleur, vibration d'un corps, etc., - rediger un mini-rapport de compte-rendu du probleme donne, - presenter leurs travaux. "," Partie theorique: Mesure et integration, distributions, Fourier periodique, Fourier. Partie pratique: Evaluation d'integrales par le calcul formel (Wolfram Integrator, Symbolic toolbox) et par une approximation numerique; calcul de spectre, phenomene de Gibbs, filtrage, resolution d'EDP type equation de la chaleur ou des cordes dans des domaines simples ... (avec Matlab ou scilab).","Faire evoluer la nature d'un probleme (TRANSFORMER) Trouver une solution, extraire une information cachee (RESOUDRE) Trouver une solution au mieux dans un eventail de possibles (OPTIMISER)"
"MU01 "," PRATIQUE INSTRUMENTALE D'ENSEMBLE","4","Sciences humaines et sociales","Sciences humaines et sociales","Technologie et Sciences de l'Homme","Automne, Printemps","Carole LEFRANCOIS-YASUDA ","Carole LEFRANCOIS-YASUDA ","Cette UV vise Ã  permettre, aux etudiants ayant dejÃ  une maitrise de leur instrument, de pratiquer collectivement cet instrument et de developper leurs competences.","TC et Branches","Niveau d'entree 2eme cycle en ecole de musique","Non","Automne : Devant un jury compose de professionnels des etablissements agrees, l'etudiant devra executer correctement une piece inscrite au programme officiel de l'inspection de la musique correspondant au niveau exige. Printemps : Devant un jury compose de professionnels des etablissements agrees, l'etudiant devra executer correctement une piece inscrite au programme officiel de l'inspection de la musique correspondant au niveau exige.","Automne : Jury final fin juin au Conservatoire de musique de Compiegne (2/3) Concert musique de chambre (1/3) Printemps : Jury final fin juin au Conservatoire de musique de Compiegne (2/3) Concert musique de chambre (1/3)"," musique instrument orchestre ","","- developper et partager des croisements de connaissances (instrumentation, organologie...) - maitriser des parametres de la pratique collective - elargir son champ de capacites d'ecoute - enrichir la culture musicale de l'etudiant par la decouverte de nouveaux repertoires - etre acteur de sa propre partition et de celles de ses partenaires par le travail d'adaptation, de transcription et d'arrangement.","","Participation aux ensembles de musique de chambre ou d'orchestre.","Avoir ameliore son niveau sur certains points definis en debut de cursus."
"MU03 "," PRATIQUE COLLECTIVE DES MUSIQUES CONTEMPORAINES","4","Sciences humaines et sociales","Sciences humaines et sociales","Technologie et Sciences de l'Homme","Automne, Printemps","Carole LEFRANCOIS-YASUDA ","Carole LEFRANCOIS-YASUDA ","cette UV permettra une pratique collective des musiques ecrites et improvisees s'inscrivant dans une esthetique de notre temps, principalement le jazz.Cela permettra de developper les techniques d'interpretation et d'improvisation.","TC et branches","Niveau d'entree 2eme cycle en ecole de musique","Non","Automne : Interpretation en petite formation ou en solo d'un standard ou d'une creation.(evaluation a  mi-parcours) ","Automne : l'UV se deroule sur deux semestres consecutifs avec evaluation intermediaire en janvier. Jury final compose de professionnels des etablissements agrees (2/3) Concert ""big band"" (1/3) "," Pratique collective Jazz Improvisation ","maintenir son niveau d'excellence de pratique instrumentale et d'improvisation jazz ; et l'ameliorer par de nouveaux acquis de technique d'interpretation a  l'aide d'enseignants specialises.","","","Cours de pratique instrumentale dans la specialite de l'etudiant, et participation a  une formation de jazz de l'UTC.","Avoir ameliore son niveau sur certains points definis en debut de cursus et avoir participe a un travail en orchestre de Jazz."
"NA05 "," COMPÃ‰TENCES NUMÃ‰RIQUES","0","Informatique","Fondamentaux","Techniques (TM-ST)","Automne, Printemps","Philippe TRIGANO "," ","Preparation en autonomie et passage en fin de semestre de la certification nationale PIX. Aucun cours, ni TD ou TP. Uniquement une epreuve finale en salle (PIX) et des entrainements en ligne durant le semestre. Une information generale lors du cours de NF05 la semaine de rentree.","debutant","","Non","Automne : Une Epreuve pratique en controle continu sur le semestre Printemps : Une Epreuve de Certification sous forme de tests et QCM (Certification PIX) Des tests de positionnement pour preparer la certification PIX Une Epreuve pratique en controle continu sur le semestre (partie C2i) ","Automne : Epreuve pratique : necessite d'avoir valide toutes les competences dans chacun des modules specifiques et techniques Printemps : Epreuve de certification PIX : necessite d'avoir au moins un niveau 3 dans chacune des competences Epreuve pratique : necessite d'avoir au moins 8 sur 20 dans chacune des 20 competences specifiques et techniques"," Bureautique apprentissage collaboratif droit  creation de pages web ","PIX (https://pix.fr/) est une certification française dispensee dans les universites pour attester de competences numeriques, dans la m'aitrise des outils informatiques et reseaux. Elle est instituee dans le but de developper, de renforcer et de valider la m'aitrise des technologies de l'information et de la communication par les etudiants en formation dans les etablissements d'enseignement superieur. Ce n'est pas un diplome mais une certification. (source wikipedia). L'objectif de l'UV est de preparer et faire passer cette certification PIX","","","D1 Travailler dans un environnement numerique D1.1 Organiser un espace de travail complexe D1.2 Securiser son espace de travail local et distant D1.3 Tenir compte des enjeux de l'interoperabilite D1.4 Perenniser ses donnees D2 Etre responsable a  l'ere du numerique D2.1 M'aitriser son identite numerique privee, institutionnelle et professionnelle D2.2 Veiller a  la protection de la vie privee et des donnees a  caractere personnel. D2.3 aŠtre responsable face aux reglementations concernant l'utilisation de ressources numeriques D2.4 Adopter les regles de bon usage du numerique D3 Produire, traiter, exploiter et diffuser des documents numeriques D3.1 Structurer et mettre en forme un document D3.2 Inserer des informations generees automatiquement D3.3 Realiser un document composite D3.4 Exploiter des donnees dans des feuilles de calcul D3.5 Adapter un document pour le diffuser D4 Organiser la recherche numerique d'informations D4.1 Chercher de l'information avec une demarche adaptee D4.2 Evaluer le resultat d'une recherche D4.3 Referencer une information numerique en ligne D4.4 Organiser une veille informationnelle D5 Travailler en reseau, communiquer et collaborer D5.1 Communiquer avec un ou plusieurs interlocuteurs D5.2 Organiser l'activite en ligne d'un groupe D5.3 Elaborer une production dans un contexte collaboratif ","La Formation est essentiellement a  distance, avec quelques regroupements en presence (5 fois 4 heures) pour les travaux pratiques. Un seul cours est assure en presence, lors de la semaine de la rentree. Les examens se font sur ordinateur (epreuve theorique et pratique), en salle machine UTC, lors de la semaine des examens finaux. Plusieurs travaux pratiques entrent dans l'evaluation de l'UV (seances de TP en presence), afin de preparer les etudiants aux epreuves theoriques et pratiques qui auront lieu en fin de semestre, sur machine. Les conditions d'attribution de l'UV seront les resultats de ces travaux pratiques et la reussite a  la certification (epreuve theorique et pratique) : - Une epreuve theorique (sous forme QCM) pour l'ensemble des neuf modules - Une epreuve pratique (sur machine) dans chacun des neuf modules - Controle continu en TP Nombre de credits : 3 credits ECTS, qui ne compteront pas dans le profil(Â« UV compteur Â») Remarque : l'UV est hors profil pour les branches, mais comptabilisee en Technique pour les TC"
"NF02 "," DU CIRCUIT INTÃ‰GRÃ‰ AU MICROPROCESSEUR","6","Informatique","Architecture des ordinateurs","Techniques (TM-ST)","Automne, Printemps","Hani AL HAJJAR ","Luhui DING ","Cette UV permet d'introduire les notions de base necessaires Ã  la comprehension des principes d'electronique numerique, de l'architecture et du fonctionnement des microprocesseurs.","fin TC, debut de branche","","Oui","Automne : Examen median sans documents: coefficient 3 Examen final (cours et TD permis; annales non): coefficient 3 Note TP = Coefficient 2 : (questions TP4 : coefficient 1) et (moyenne TP 5 et TP 6 : coefficient 1) Printemps : Travaux Pratiques : 2/8 Examen median : 3/8 Examen final : 3/8 Travaux Pratiques : (2 (rapports TP5,TP6)+ 1 Question TP)/3.","Automne : Note eliminatoire : (Median+Final)/2 < 7 Attribution si (3*median + 3*final + 2*TP)/8 >10 Printemps : Note eliminatoire : (Median+Final)/2 < 7 ET Final < 5 (3 x median + 3 x final + 2 x TP)/8 > 10"," electronique numerique microprocesseurs interfaces programmation assembleur ","L'objectif de l'UV est la comprehension du materiel, du logiciel et des principes elementaires qui sont a  la base de la realisation des microprocesseurs. La premiere partie presente les outils de base de la logique binaire: circuits combinatoires et sequentiels. L'accent est mis sur differentes applications concretes utilisant les circuits du commerce. La deuxieme partie decrit l'architecture des microprocesseurs, les boa®tiers memoires, la programmation assembleur, la gestion des bus et celle des entrees/sorties paralleles ou serie. Les TP s'articulent autour d'un systeme physique de simulation de circuits, d'un logiciel de CAO en electronique (schema et simulation fonctionnelle) et de programmation assembleur (68HCS12 de Motorola).","- conn'aitre et comprendre les circuits de base de l'electronique numerique; - comprendre le fonctionnement et savoir programmer en assembleur un microprocesseur; - comprendre la necessite et savoir utiliser une interface. ","","Algebre de Boole, circuits logiques, circuits combinatoires (fonctions et circuits reels) Bascules, Synthese de sequences Compteurs, Registres Concepts de microprocesseur - ex : 68HCS12 Types de memoires, boitiers, MAP de memoire Modes d'adressage : 68HCS12 Catalogue d'instructions de base Interruptions, Programmation et Langages Interfaçage parallele","Conn'aitre et comprendre les circuits de base de l'electronique numerique. Comprendre le fonctionnement et savoir programmer en assembleur un microprocesseur. Comprendre la necessite et savoir utiliser une interface."
"NF04 "," MODÃ‰LISATION NUMÃ‰RIQUE DES PROBLÃˆMES DE L'INGÃ‰NIEUR","6","Mecanique des solides et des structures","Modelisation mathematique","Scientifiques (CS-ST)","Automne, Printemps","Mohamed RACHIK ","Mabrouk BEN TAHAR ","Cette UV presente la description mathematique des problemes de l'ingenieur, la modelisation numerique, la realisation et l'utilisation d'un logiciel industriel (P) ou d'outils sous Matlab (A). Les applications traitent de problemes stationnaires ou non et appliques aux domaines de la thermique, mecanique, acoustique, fluide et phenomene de transport.","Gx02 Prerequis : MT09 (souhaitable)","","Oui","Automne : Examen median : 40 % Examen final : 40 % Mini projet : 20 % Printemps : Examen Median : 40%, Examen Final : 50% Mini projet : 10%","Automne : Moyenne generale >= 10 Printemps : Moyenne generale >= 10"," Methode des elements finis Calcul integral et matriciel de base Methode des differences finies ","- fournir, a  l'aide d'outils et de methodes numeriques (differences finies, elements finis), des solutions approchees d'une large gamme de problemes d'ingenieurs relevant de la mecanique des structure, de la thermique, de l'acoustique et des ecoulements potentiels. ","- discretiser des modeles mathematiques de problemes d'ingenieurs a  l'aide des methodes de differences finies et elements finis et de techniques specifiques : 1/ Problemes stationnaires 1D et 2D et developpement d'elements specifiques (thermique, mecanique...) 2/ Problemes instationnaires par des approches explicites, implicites et les notions de stabilite numerique liees a  leur usage - identifier les grandes etapes de la structure generale d'un code de calculs par elements finis (matrices elementaires, assemblages, conditions au limites, resolution); - estimer le niveau d'approximation des methodes de calcul employees pour l'encadrer voire le diminuer; - utiliser un code de calcul aux elements finis (Printemps) et s'initier a  un langage de programmation pour l'ingenieur (Matlab). ","- manipuler langage de programmation Matlab pour l'ingenieur; - rediger d'un rapport scientifique et technique (mini-projet).","","- Savoir ecrire un modele mathematique associe a  un probleme physique simple - Savoir le principe de la discretisation par differences finies - Savoir le principe de la methode des elements finis : interpolation, calcul elementaire, assemblage, conditions aux limites, construction d'un element finis,'. - Utilisation d'un code d'elements finis - Dans le cadre de NF04 Automne, la moitie des TD a lieu en salle machines avec utilisation du logiciel Matlab. Des scripts sont integralement fournis donnant ainsi la possibilite a l'etudiant d'apprendre le fonctionnement d'un programme d'elements finis et d'en concevoir d'autres."
"NF05 "," COMPÃ‰TENCES NUMÃ‰RIQUES","4","Informatique","Fondamentaux","Techniques (TM-ST)","Automne, Printemps","Philippe TRIGANO ","Philippe TRIGANO ","Cet enseignement permet d'acquerir des competences dans la maÃ®trise des outils informatiques, des technologies de l'information et de la communication, des reseaux, des aspects juridiques et ethiques associes Ã  l'internet, et de la recherche d'information sur le web, ainsi que la publication de donnees sur internet.","debutant","","Non","Automne : Une Epreuve pratique en controle continu sur le semestre Printemps : Une Epreuve de Certification sous forme de tests et QCM (Certification PIX) Des tests de positionnement pour preparer la certification PIX Une Epreuve pratique en controle continu sur le semestre (partie C2i) ","Automne : Epreuve pratique : necessite d'avoir valide toutes les competences dans chacun des modules specifiques et techniques Printemps : Epreuve de certification PIX : necessite d'avoir au moins un niveau 3 dans chacune des competences Epreuve pratique : necessite d'avoir au moins 8 sur 20 dans chacune des 20 competences specifiques et techniques"," Bureautique apprentissage collaboratif presentation assistee par ordinateur droit  creation de pages web tableur messagerie electronique ","PIX (https://pix.fr/) est une certification française dispensee dans les universites pour attester de competences numeriques, dans la m'aitrise des outils informatiques et reseaux. Elle est instituee dans le but de developper, de renforcer et de valider la m'aitrise des technologies de l'information et de la communication par les etudiants en formation dans les etablissements d'enseignement superieur. Ce n'est pas un diplome mais une certification. (source wikipedia). L'objectif de l'UV est de preparer et faire passer cette certification PIX","","","D1 Travailler dans un environnement numerique D1.1 Organiser un espace de travail complexe D1.2 Securiser son espace de travail local et distant D1.3 Tenir compte des enjeux de l'interoperabilite D1.4 Perenniser ses donnees D2 Etre responsable a  l'ere du numerique D2.1 M'aitriser son identite numerique privee, institutionnelle et professionnelle D2.2 Veiller a  la protection de la vie privee et des donnees a  caractere personnel. D2.3 aŠtre responsable face aux reglementations concernant l'utilisation de ressources numeriques D2.4 Adopter les regles de bon usage du numerique D3 Produire, traiter, exploiter et diffuser des documents numeriques D3.1 Structurer et mettre en forme un document D3.2 Inserer des informations generees automatiquement D3.3 Realiser un document composite D3.4 Exploiter des donnees dans des feuilles de calcul D3.5 Adapter un document pour le diffuser D4 Organiser la recherche numerique d'informations D4.1 Chercher de l'information avec une demarche adaptee D4.2 Evaluer le resultat d'une recherche D4.3 Referencer une information numerique en ligne D4.4 Organiser une veille informationnelle D5 Travailler en reseau, communiquer et collaborer D5.1 Communiquer avec un ou plusieurs interlocuteurs D5.2 Organiser l'activite en ligne d'un groupe D5.3 Elaborer une production dans un contexte collaboratif ","La Formation est essentiellement a  distance, avec quelques regroupements en presence (5 fois 4 heures) pour les travaux pratiques. Un seul cours est assure en presence, lors de la semaine de la rentree. Les examens se font sur ordinateur (epreuve theorique et pratique), en salle machine UTC, lors de la semaine des examens finaux. Plusieurs travaux pratiques entrent dans l'evaluation de l'UV (seances de TP en presence), afin de preparer les etudiants aux epreuves theoriques et pratiques qui auront lieu en fin de semestre, sur machine. Les conditions d'attribution de l'UV seront les resultats de ces travaux pratiques et la reussite a  la certification (epreuve theorique et pratique) : - Une epreuve theorique (sous forme QCM) pour l'ensemble des neuf modules - Une epreuve pratique (sur machine) dans chacun des neuf modules - Controle continu en TP Nombre de credits : 3 credits ECTS, qui ne compteront pas dans le profil(Â« UV compteur Â») Remarque : l'UV est hors profil pour les branches, mais comptabilisee en Technique pour les TC"
"NF11 "," THÃ‰ORIE DES LANGAGES DE PROGRAMMATION","6","Informatique","Systemes d'exploitation, interpreteurs, compilateurs","Scientifiques (CS-ST)","Printemps"," ","Mehdi SERAIRI ","l'UV aborde les notions theoriques necessaires Ã  la comprehension de la compilation des langages de programmation. Elle traite les phases d'analyses lexicale, syntaxique et semantique. Elle presente les grammaires regulieres et hors-contexte ainsi que les automates associes aux analyseurs. Elle aborde egalement les definitions dirigees par la syntaxe","GI03","NF16","Oui"," Printemps : Examen median Examen final Projet : construction d'un interpreteur de langage"," Printemps : - Moyenne >=10 - test, projet, median and final >6 Avec, Moyenne = 5% test TP + 25% projet + 30% median + 40% final "," grammaire automate compilation ","- analyser un programme source et de creer un compilateur ou un interpreteur de langage.","- expertiser les concepts de langage, de grammaire hors contexte et d'automate; - ecrire les differentes phases de fonctionnement d'un compilateur (Analyse lexical, Analyse syntaxique, Analyse semantique); - creer un analyseur syntaxique interpreteur d'un langage procedural grace a  des outils generiques (outils AntLR); - employer la generation de code; - utiliser un outils de generation de parser a  partir d'une grammaire; - ecrire un visiteur de l'arbre de derivation construit par le parser. ","- appliquer le concept d'expression reguliere.","Elements de la theorie des langages - Alphabets et mots - Langages - Grammaires - Classification des grammaires Analyse lexicale - Langages rationnels et grammaires regulieres - Expressions regulieres - Automates finis, deterministes et non deterministes Analyse syntaxique - Grammaires hors contexte - Automates a  pile - Analyses ascendante et descendante Elements d'analyse semantique statique - Verification des types - Grammaires attribuees","Acquisition et manipulation des concepts de langage, de grammaire hors contexte et d'automate. Realisation d'un analyseur syntaxique interpreteur d'un langage procedural grace a  des outils generiques (outil AntLR). Construction d'une table des variables. Generation de code. "
